"a_id","a_uid","a_magid"
"1091","2116","205"
"1092","2119","268"
"1093","2120","156"
"1094","2123","276"
"1095","2126","97"
"1096","2127","21"
"1097","2129","166"
"1098","2131","280"
"1099","2132","225"
"1100","2136","50"
"1101","2139","166"
"1102","2142","290"
"1103","2146","314"
"1104","2149","113"
"1105","2149","115"
"1106","2151","31"
"1107","2156","40"
"1108","2147","342"
"1109","2147","342"
"1110","2162","76"
"1111","2164","310"
"1112","2121","232"
"1113","2121","262"
"1114","2166","22"
"1115","2034","318"
"1116","2034","330"
"1117","2168","280"
"1118","2172","324"
"1119","2180","280"
"1120","2181","33"
"1121","2183","137"
"1122","2184","240"
"1123","2191","280"
"1124","2194","156"
"1125","2197","273"
"1126","2200","293"
"1127","2201","171"
"1128","2203","293"
"1129","2176","223"
"1130","2205","258"
"1131","2210","33"
"1132","2211","284"
"1133","2215","331"
"1134","2216","33"
"1135","2217","279"
"1136","2220","358"
"1137","2228","137"
"1138","2229","36"
"1139","2230","191"
"1140","2231","156"
"1141","2235","171"
"1142","2236","350"
"1143","2237","310"
"1144","2238","361"
"1145","2243","80"
"1146","2249","336"
"1147","2251","60"
"1148","2254","290"
"1149","2259","231"
"1150","2260","156"
"1151","2261","280"
"1152","2264","268"
"1153","2269","250"
"1154","2270","365"
"1155","2273","233"
"1156","2273","119"
"1157","2273","50"
"1158","2279","66"
"1159","2280","22"
"1160","2280","366"
"1161","2280","9"
"1162","2280","184"
"1163","2281","342"
"1164","2282","64"
"1165","2283","354"
"1166","2283","273"
"1167","2283","108"
"1168","2283","194"
"1169","2283","198"
"1170","2283","218"
"1171","2286","81"
"1172","2288","156"
"1173","2289","226"
"1174","2290","349"
"1175","2291","280"
"1176","2263","163"
"1177","2294","364"
"1178","2298","33"
"1179","2299","145"
"1180","2300","342"
"1181","2301","106"
"1182","2303","114"
"1183","2306","289"
"1184","2310","19"
"1185","2313","16"
"1186","2314","40"
"1187","2314","106"
"1188","2315","125"
"1189","2316","352"
"1190","2318","355"
"1191","2323","183"
"1192","2326","271"
"1193","2328","316"
"1194","2332","188"
"1195","2333","222"
"1196","2335","336"
"1197","2338","231"
"1198","2338","370"
"1199","2337","353"
"1200","2339","269"
"1201","2340","348"
"1202","2342","330"
"1203","2348","268"
"1204","2351","280"
"1205","2352","336"
"1206","2353","195"
"1207","2353","355"
"1208","2353","61"
"1209","2356","248"
"1210","2356","248"
"1211","2356","228"
"1212","2357","273"
"1213","2358","133"
"1214","2360","280"
"1215","2361","202"
"1216","2364","33"
"1217","2365","289"
"1218","2365","76"
"1219","2369","247"
"1220","2369","52"
"1221","2370","121"
"1222","2371","194"
"1223","2373","301"
"1224","2366","310"
"1225","2376","30"
"1226","2377","33"
"1227","2378","156"
"1228","2382","166"
"1229","2383","370"
"1230","2387","348"
"1231","2389","191"
"1232","2391","287"
"1233","2392","314"
"1234","2393","293"
"1235","2394","280"
"1236","2398","301"
"1237","2402","148"
"1238","2405","265"
"1239","2408","234"
"1240","2409","56"
"1241","2415","326"
"1242","2416","169"
"1243","2417","336"
"1244","2418","139"
"1245","2419","17"
"1246","2414","279"
"1247","2420","127"
"1248","2421","342"
"1249","2422","111"
"1250","2423","171"
"1251","2426","293"
"1252","2427","222"
"1253","2429","105"
"1254","2432","156"
"1255","2433","88"
"1256","2435","269"
"1257","2438","194"
"1258","2438","108"
"1259","2439","310"
"1260","2441","97"
"1261","2449","151"
"1262","2451","357"
"1263","2452","336"
"1264","2455","139"
"1265","2456","333"
"1266","2456","276"
"1267","2459","280"
"1268","2457","280"
"1269","2461","287"
"1270","2463","209"
"1271","2464","267"
"1272","2465","315"
"1273","2465","331"
"1274","2465","286"
"1275","2465","299"
"1276","2468","8"
"1277","2469","287"
"1278","2470","171"
"1279","2471","357"
"1280","2463","209"
"1281","2473","361"
"1282","2475","323"
"1283","2475","119"
"1284","2475","266"
"1285","2475","284"
"1286","2475","245"
"1287","2476","376"
"1288","2477","223"
"1289","2480","331"
"1290","2481","375"
"1291","2483","97"
"1292","2484","353"
"1293","2486","137"
"1294","2488","21"
"1295","2489","117"
"1296","2489","37"
"1297","2492","331"
"1298","2493","293"
"1299","2494","62"
"1300","2494","130"
"1301","2494","338"
"1302","2494","52"
"1303","2494","210"
"1304","2495","156"
"1305","2498","361"
"1306","2498","219"
"1307","2498","219"
"1308","2497","355"
"1309","2503","280"
"1310","2505","296"
"1311","2506","159"
"1312","2509","94"
"1313","2510","62"
"1314","2511","280"
"1315","2511","280"
"1316","2511","280"
"1317","2513","314"
"1318","2514","314"
"1319","2516","280"
"1320","2516","280"
"1321","2517","306"
"1322","2522","119"
"1323","2522","100"
"1324","2522","233"
"1325","2523","184"
"1326","2526","48"
"1327","2528","169"
"1328","2531","336"
"1329","2532","56"
"1330","2535","314"
"1331","2537","268"
"1332","2539","268"
"1333","2539","272"
"1334","2539","218"
"1335","2539","354"
"1336","2539","108"
"1337","2539","273"
"1338","2539","222"
"1339","2539","194"
"1340","2539","198"
"1341","2539","250"
"1342","2542","312"
"1343","2543","228"
"1344","2547","326"
"1345","2548","356"
"1346","2549","145"
"1347","2550","223"
"1348","2550","320"
"1349","2551","297"
"1350","2552","373"
"1351","2557","327"
"1352","2559","325"
"1353","2556","354"
"1354","2561","373"
"1355","2566","369"
"1356","2567","340"
"1357","2570","98"
"1358","2573","289"
"1359","2574","228"
"1360","2576","226"
"1361","2577","172"
"1362","2582","240"
"1363","2583","50"
"1364","2585","60"
"1365","2586","128"
"1366","2587","36"
"1367","2588","36"
"1368","2589","318"
"1369","2590","123"
"1370","2591","136"
"1371","2595","166"
"1372","2595","351"
"1373","2595","82"
"1374","2595","91"
"1375","2596","33"
"1376","2597","361"
"1377","2598","33"
"1378","2602","280"
"1379","2603","156"
"1380","2606","94"
"1381","2607","280"
"1382","2604","266"
"1383","2608","222"
"1384","2608","250"
"1385","2599","375"
"1386","2613","327"
"1387","2614","290"
"1388","2616","305"
"1389","2617","240"
"1390","2619","156"
"1391","2620","376"
"1392","2627","258"
"1393","2629","233"
"1394","2631","171"
"1395","2633","278"
"1396","2635","70"
"1397","2637","326"
"1398","2638","289"
