"f_id","f_uid","f_magid"
"1068","2802","375"
"1069","2803","331"
"1070","2804","268"
"1071","2806","76"
"1072","2807","233"
"1073","2811","354"
"1074","2793","127"
"1075","2814","333"
"1076","2815","276"
"1077","2819","276"
"1078","2821","218"
"1079","2825","30"
"1080","2829","204"
"1081","2840","326"
"1082","2841","285"
"1083","2854","370"
"1084","2855","169"
"1085","2757","171"
"1086","2857","21"
"1087","2866","76"
"1088","2871","191"
"1089","2876","202"
"1090","2880","336"
"1091","2881","293"
"1092","2885","244"
"1093","2884","348"
"1094","2887","33"
"1095","2890","357"
"1096","2896","309"
"1097","2899","33"
"1098","2898","280"
"1099","2901","275"
"1100","2896","83"
"1101","2895","153"
"1103","2907","357"
"1104","2902","375"
"1105","2912","296"
"1106","2910","357"
"1107","2912","82"
"1108","2916","357"
"1109","2913","246"
"1110","2911","316"
"1111","2915","219"
"1112","2922","171"
"1113","2928","110"
"1114","2929","330"
"1115","2931","357"
"1116","2933","361"
"1117","2932","317"
"1118","2936","289"
"1119","2939","368"
"1120","2939","316"
"1121","2940","297"
"1122","2936","289"
"1123","2942","33"
"1124","2943","361"
"1125","2952","354"
"1126","2953","317"
"1127","2964","272"
"1128","2964","268"
"1129","2967","82"
"1130","2971","19"
"1131","2973","171"
"1132","2975","13"
"1133","2975","213"
"1134","2978","229"
"1135","2979","336"
"1136","2889","43"
"1137","2980","100"
"1138","2986","94"
"1139","2987","133"
"1140","2988","36"
"1141","2926","375"
"1142","2996","370"
"1143","2997","66"
"1144","2999","282"
"1145","3000","33"
"1146","3004","250"
"1147","3006","327"
"1148","3007","31"
"1149","3007","96"
"1150","3001","226"
"1151","3008","355"
"1152","3005","17"
"1153","3015","382"
"1154","3013","133"
"1155","3019","330"
"1156","3020","340"
"1157","3021","131"
"1158","3023","33"
"1159","3025","77"
"1160","3029","375"
"1161","3031","5"
"1162","3032","374"
"1163","3035","287"
"1164","3036","300"
"1165","3039","33"
"1166","3042","33"
"1167","3043","156"
"1168","3045","198"
"1169","3045","354"
"1170","3046","156"
"1171","3047","223"
"1172","3051","280"
"1173","3053","342"
"1174","3054","62"
"1175","3064","184"
"1176","3072","331"
"1177","3073","370"
"1178","3076","314"
"1179","3078","279"
"1180","3078","237"
"1181","3079","33"
"1182","3080","336"
"1183","3081","139"
"1184","3088","223"
"1185","3089","280"
"1186","3090","274"
"1187","3091","213"
"1188","3092","257"
"1189","3096","342"
"1190","3098","306"
"1191","3100","121"
"1192","3101","336"
"1193","3060","85"
"1194","3037","375"
"1195","3107","191"
"1196","3109","41"
"1197","3110","187"
"1198","3114","33"
"1199","3118","324"
"1200","3125","97"
"1201","3128","166"
"1202","3129","33"
"1204","3130","97"
"1205","3134","40"
"1206","3140","198"
"1207","3140","218"
"1208","3141","290"
"1209","3144","373"
"1210","3145","5"
"1211","3149","33"
"1212","3151","33"
"1213","3152","133"
"1214","3153","375"
"1215","3154","290"
"1216","3158","8"
"1217","3162","97"
"1218","3171","222"
"1219","3173","291"
"1220","3175","171"
"1221","3178","8"
"1222","3044","240"
"1223","3182","278"
"1224","3188","276"
"1225","3192","52"
"1226","3193","171"
"1227","3195","370"
"1228","3199","82"
"1229","3202","21"
"1230","3203","33"
"1231","3206","17"
"1232","3211","355"
"1233","3217","105"
"1234","3218","169"
"1235","3218","127"
"1236","3224","312"
"1237","3227","276"
"1238","3230","353"
"1239","3238","377"
"1240","3240","290"
"1241","3212","314"
"1242","3243","30"
"1243","3244","275"
"1244","3247","62"
"1245","3248","280"
"1246","3252","93"
"1247","3257","33"
"1248","3258","74"
"1249","3262","119"
"1250","3263","293"
"1251","3259","229"
"1252","3264","33"
"1253","3265","376"
"1254","3255","33"
"1255","3269","108"
"1256","1661","184"
"1257","3273","209"
"1258","3275","310"
"1259","2639","280"
"1260","3279","366"
"1261","3284","339"
"1262","3289","370"
"1263","3290","310"
"1264","3197","33"
"1265","3288","33"
"1266","3292","351"
"1267","3292","94"
"1268","3292","120"
"1269","3293","365"
"1270","3295","373"
"1271","3298","268"
"1272","3299","83"
"1273","3301","156"
"1274","3309","361"
"1275","3311","300"
"1276","3315","316"
"1277","3317","357"
"1278","3318","324"
"1279","3321","365"
"1280","3327","97"
